Coupling 
   2.533   2.114   0.615  -4.143  -7.702  -9.736   1.306   1.460   1.805   1.434   0.000   0.000   2.533
   4.225   3.995   1.560  -3.899  -6.794  -4.814   1.675   2.126   1.641   0.835   0.000   0.000   4.225
   5.396   4.974   2.627  -1.106  -1.701   2.149   2.971   2.279   1.425   0.168   0.000   0.000   5.396
   5.474   4.874   3.444   2.677   4.578   8.267  13.740  17.843  13.692   9.060   0.000   0.000   5.474
   3.765   3.525   4.125   6.461  10.345  13.571  19.135  14.977   9.784   4.678   0.000   0.000   3.765
Coupling_cisPro_transGly
   0.962  -0.196   0.674   2.330   4.919   5.441   3.084   2.482   1.253  -0.216   0.000   0.000   0.962
  -0.473  -1.485  -0.403   1.919   5.265   4.812   2.458   1.855   0.425  -0.420   0.000   0.000  -0.473
  -1.678  -2.178  -0.785   1.139   3.675   2.286   1.576   0.742  -0.394  -0.541   0.000   0.000  -1.678
  -1.795  -1.755  -0.414   0.779   1.778   0.947   0.686  -0.447  -0.519  -0.133   0.000   0.000  -1.795
  -1.548  -0.918   0.177   0.907   1.099   0.506  -0.795  -0.383   0.237   0.037   0.000   0.000  -1.548
  -0.686   0.317   1.194   1.519   0.748  -0.937  -0.845  -0.285  -0.179   1.199   0.000   0.000  -0.686
   0.488   1.434   2.145   1.924   0.459  -1.232  -0.802  -0.370   1.043   1.711   0.000   0.000   0.488
   1.418   2.029   2.475   1.593  -0.618  -0.995   0.869   1.136   1.539   1.625   0.000   0.000   1.418
   2.400   2.307   2.049   1.359   0.382   1.484   1.282   1.596   1.795   1.411   0.000   0.000   2.400
   2.767   2.228   2.071   2.245   3.199   2.355   1.629   2.099   1.707   0.866   0.000   0.000   2.767
   2.463   1.661   1.724   2.351   3.404   3.439   3.067   2.258   1.401   0.583   0.000   0.000   2.463
   1.828   0.913   1.223   2.309   3.849   4.941   3.645   2.114   1.491   0.289   0.000   0.000   1.828
   0.962  -0.196   0.674   2.330   4.919   5.441   3.084   2.482   1.253  -0.216   0.000   0.000   0.962
